% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
2.334	2	1	234	5	1	2	573
2.335	1	1	234	6	1	2	573
2.335	2	1	234	6	1	2	573
2.336	1	1	234	7	1	2	573
2.336	2	1	234	7	1	2	573
2.337	1	1	234	8	1	2	573
2.338	1	1	234	9	1	2	573
2.339	1	1	234	10	1	2	573
2.34	1	1	235	1	1	2	573
2.341	1	1	235	2	1	2	573
2.342	1	1	235	3	1	2	573
2.343	1	1	235	4	1	2	573
2.344	1	1	235	5	1	28	9422
2.345	1	1	235	6	1	28	9422
2.346	1	1	235	7	1	28	9422
2.347	1	1	235	8	1	28	9422
2.347	2	1	235	8	1	2	573
2.348	1	1	235	9	1	28	9422
2.348	2	1	235	9	1	2	573
2.368	1	1	237	9	1	2	573
2.369	1	1	237	10	1	2	573
2.373	1	1	238	4	1	2	573
2.373	2	1	238	4	1	2	573
2.374	1	1	238	5	1	2	573
2.374	2	1	238	5	1	2	573
2.375	1	1	238	6	1	28	9422
2.375	2	1	238	6	1	2	573
2.376	1	1	238	7	1	28	9422
2.376	2	1	238	7	1	2	573
2.377	1	1	238	8	1	28	9422
2.377	2	1	238	8	1	2	573
2.378	1	1	238	9	1	28	9422
2.378	2	1	238	9	1	2	573
2.379	1	1	238	10	1	28	9422
2.379	2	1	238	10	1	2	573
2.38	1	1	239	1	1	2	573
2.38	2	1	239	1	1	2	573
2.381	1	1	239	2	1	28	9422
2.382	1	1	239	3	1	28	9422
2.383	1	1	239	4	1	28	9422
2.384	1	1	239	5	1	28	9422
2.385	1	1	239	6	1	28	9422
2.386	1	1	239	7	1	28	9422
2.387	1	1	239	8	1	28	9422
2.404	2	1	241	5	1	2	573
2.405	1	1	241	6	1	2	573
2.405	2	1	241	6	1	2	573
2.406	1	1	241	7	1	2	573
2.406	2	1	241	7	1	2	573
2.407	1	1	241	8	1	2	573
2.407	2	1	241	8	1	2	573
2.408	1	1	241	9	1	2	573
2.409	1	1	241	10	1	2	573
2.411	1	1	242	2	1	2	573
2.411	2	1	242	2	1	28	9422
2.412	1	1	242	3	1	28	9422
2.413	1	1	242	4	1	28	9422
2.414	1	1	242	5	1	28	9422
2.415	1	1	242	6	1	28	9422
2.416	1	1	242	7	1	28	9422
2.417	1	1	242	8	1	28	9422
2.418	1	1	242	9	1	28	9422
2.419	1	1	242	10	1	28	9422
2.42	1	1	243	1	1	28	9422
2.421	1	1	243	2	1	28	9422
2.422	1	1	243	3	1	28	9422
2.422	2	1	243	3	1	28	9422
2.44	2	1	245	1	1	28	9422
2.441	1	1	245	2	1	2	573
2.441	2	1	245	2	1	2	573
2.442	1	1	245	3	1	2	573
2.442	2	1	245	3	1	2	573
2.443	1	1	245	4	1	2	573
2.444	1	1	245	5	1	2	573
2.445	1	1	245	6	1	2	573
2.446	1	1	245	7	1	2	573
2.447	1	1	245	8	1	2	573
2.447	2	1	245	8	1	28	9422
2.448	1	1	245	9	1	28	9422
2.449	1	1	245	10	1	28	9422
2.45	1	1	246	1	1	28	9422
2.451	1	1	246	2	1	28	9422
2.452	1	1	246	3	1	28	9422
2.453	1	1	246	4	1	28	9422
2.454	1	1	246	5	1	28	9422
2.455	1	1	246	6	1	28	9422
2.456	1	1	246	7	1	28	9422
2.457	1	1	246	8	1	28	9422
2.458	1	1	246	9	1	28	9422
2.458	2	1	246	9	1	28	9422
2.459	1	1	246	10	1	28	9422
2.459	2	1	246	10	1	28	9422
2.476	2	1	248	7	1	28	9422
2.477	1	1	248	8	1	28	9422
2.477	2	1	248	8	1	28	9422
2.478	1	1	248	9	1	28	9422
2.478	2	1	248	9	1	28	9422
2.479	1	1	248	10	1	28	9422
2.479	2	1	248	10	1	28	9422
2.483	1	1	249	4	1	2	573
2.483	2	1	249	4	1	28	9422
2.484	1	1	249	5	1	28	9422
2.485	1	1	249	6	1	28	9422
2.486	1	1	249	7	1	28	9422
2.487	1	1	249	8	1	28	9422
2.488	1	1	249	9	1	28	9422
2.489	1	1	249	10	1	28	9422
2.49	1	1	250	1	1	28	9422
2.491	1	1	250	2	1	28	9422
2.492	1	1	250	3	1	28	9422
2.493	1	1	250	4	1	28	9422
2.494	1	1	250	5	1	28	9422
2.494	2	1	250	5	1	28	9422
2.512	2	1	252	3	1	28	9422
2.513	1	1	252	4	1	28	9422
2.513	2	1	252	4	1	28	9422
2.514	1	1	252	5	1	28	9422
2.514	2	1	252	5	1	28	9422
2.515	1	1	252	6	1	28	9422
2.519	1	1	252	10	1	28	9422
2.519	2	1	252	10	1	28	9422
2.52	1	1	253	1	1	28	9422
2.521	1	1	253	2	1	2	573
2.522	1	1	253	3	1	28	9422
