% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
2627	1	1	1	0	28	9422	0	1
2628	1	1	1	0	28	9422	0	1
2629	1	1	1	0	28	9422	0	1
2633	1	1	1	0	28	9422	0	1
2634	1	1	1	0	28	9422	0	1
2635	1	1	1	0	28	9422	0	1
2636	1	1	1	0	28	9422	0	1
2637	1	1	1	0	28	9422	0	1
2638	1	1	1	0	28	9422	0	1
2639	1	1	1	0	28	9422	0	1
2640	1	1	1	0	28	9422	0	1
2641	1	1	1	0	28	9422	0	1
2642	1	1	1	0	28	9422	0	1
2643	1	1	1	0	28	9422	0	1
2644	1	1	1	0	28	9422	0	1
2663	1	1	1	0	2	573	0	1
2664	1	1	1	0	2	573	0	1
2665	1	1	1	0	2	573	0	1
2666	1	1	1	0	2	573	0	1
2667	1	1	1	0	2	573	0	1
2668	1	1	1	0	2	573	0	1
2669	1	1	1	0	2	573	0	1
2670	1	1	1	0	28	9422	0	1
2671	1	1	1	0	28	9422	0	1
2672	1	1	1	0	28	9422	0	1
2673	1	1	1	0	28	9422	0	1
2674	1	1	1	0	28	9422	0	1
2675	1	1	1	0	28	9422	0	1
2676	1	1	1	0	28	9422	0	1
2677	1	1	1	0	28	9422	0	1
2678	1	1	1	0	28	9422	0	1
2679	1	1	1	0	28	9422	0	1
2680	1	1	1	0	28	9422	0	1
2681	1	1	1	0	28	9422	0	1
2699	1	1	1	0	2	573	0	1
2700	1	1	1	0	2	573	0	1
2701	1	1	1	0	2	573	0	1
2702	1	1	1	0	2	573	0	1
2705	1	1	1	0	2	573	0	1
2706	1	1	1	0	28	9422	0	1
2707	1	1	1	0	28	9422	0	1
2708	1	1	1	0	28	9422	0	1
2709	1	1	1	0	28	9422	0	1
2710	1	1	1	0	28	9422	0	1
2711	1	1	1	0	28	9422	0	1
2712	1	1	1	0	28	9422	0	1
2713	1	1	1	0	28	9422	0	1
2714	1	1	1	0	28	9422	0	1
2715	1	1	1	0	28	9422	0	1
2716	1	1	1	0	28	9422	0	1
2735	1	1	1	0	2	573	0	1
2736	1	1	1	0	2	573	0	1
2737	1	1	1	0	2	573	0	1
2738	1	1	1	0	2	573	0	1
2739	1	1	1	0	2	573	0	1
2740	1	1	1	0	2	573	0	1
2741	1	1	1	0	2	573	0	1
2742	1	1	1	0	28	9422	0	1
2743	1	1	1	0	28	9422	0	1
2744	1	1	1	0	28	9422	0	1
2745	1	1	1	0	28	9422	0	1
2746	1	1	1	0	28	9422	0	1
2747	1	1	1	0	28	9422	0	1
2748	1	1	1	0	28	9422	0	1
2749	1	1	1	0	28	9422	0	1
2750	1	1	1	0	28	9422	0	1
2751	1	1	1	0	28	9422	0	1
2752	1	1	1	0	28	9422	0	1
2753	1	1	1	0	28	9422	0	1
2771	1	1	1	0	2	573	0	1
2772	1	1	1	0	2	573	0	1
2773	1	1	1	0	2	573	0	1
2774	1	1	1	0	2	573	0	1
2777	1	1	1	0	2	573	0	1
2778	1	1	1	0	28	9422	0	1
2779	1	1	1	0	28	9422	0	1
2780	1	1	1	0	28	9422	0	1
2781	1	1	1	0	28	9422	0	1
2782	1	1	1	0	28	9422	0	1
2783	1	1	1	0	28	9422	0	1
2784	1	1	1	0	28	9422	0	1
2785	1	1	1	0	28	9422	0	1
2786	1	1	1	0	28	9422	0	1
2787	1	1	1	0	28	9422	0	1
2788	1	1	1	0	28	9422	0	1
2807	1	1	1	0	2	573	0	1
2808	1	1	1	0	2	573	0	1
2809	1	1	1	0	2	573	0	1
2810	1	1	1	0	2	573	0	1
2811	1	1	1	0	2	573	0	1
2812	1	1	1	0	2	573	0	1
2813	1	1	1	0	2	573	0	1
2814	1	1	1	0	28	9422	0	1
2815	1	1	1	0	28	9422	0	1
2816	1	1	1	0	28	9422	0	1
2817	1	1	1	0	28	9422	0	1
2818	1	1	1	0	28	9422	0	1
2819	1	1	1	0	28	9422	0	1
2820	1	1	1	0	28	9422	0	1
2821	1	1	1	0	28	9422	0	1
2822	1	1	1	0	28	9422	0	1
2823	1	1	1	0	28	9422	0	1
2824	1	1	1	0	28	9422	0	1
2825	1	1	1	0	28	9422	0	1
2843	1	1	1	0	28	9422	0	1
2844	1	1	1	0	28	9422	0	1
