% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
1.872	2	1	188	3	1	28	9422	0	0
1.873	2	1	188	4	1	28	9422	0	0
1.874	2	1	188	5	1	28	9422	0	0
1.875	2	1	188	6	1	28	9422	0	0
1.876	2	1	188	7	1	28	9422	0	0
1.877	2	1	188	8	1	28	9422	0	0
1.878	1	1	188	9	1	28	9422	0	0
1.878	2	1	188	9	1	28	9422	0	0
1.879	2	1	188	10	1	28	9422	0	0
1.884	2	1	189	5	1	28	9422	0	0
1.885	2	1	189	6	1	28	9422	0	0
1.886	2	1	189	7	1	28	9422	0	0
1.887	2	1	189	8	1	28	9422	0	0
1.888	2	1	189	9	1	28	9422	0	0
1.889	2	1	189	10	1	28	9422	0	0
1.89	2	1	190	1	1	28	9422	0	0
1.891	2	1	190	2	1	28	9422	0	0
1.896	2	1	190	7	1	28	9422	0	0
1.897	2	1	190	8	1	28	9422	0	0
1.898	2	1	190	9	1	28	9422	0	0
1.899	2	1	190	10	1	28	9422	0	0
1.9	2	1	191	1	1	28	9422	0	0
1.901	2	1	191	2	1	28	9422	0	0
1.902	2	1	191	3	1	28	9422	0	0
1.903	2	1	191	4	1	28	9422	0	0
1.904	2	1	191	5	1	28	9422	0	0
1.905	2	1	191	6	1	28	9422	0	0
1.906	1	1	191	7	1	28	9422	0	0
1.906	2	1	191	7	1	28	9422	0	0
1.907	2	1	191	8	1	28	9422	0	0
1.908	2	1	191	9	1	28	9422	0	0
1.909	2	1	191	10	1	28	9422	0	0
1.91	2	1	192	1	1	28	9422	0	0
1.911	2	1	192	2	1	28	9422	0	0
1.912	2	1	192	3	1	28	9422	0	0
1.913	2	1	192	4	1	28	9422	0	0
1.914	2	1	192	5	1	28	9422	0	0
1.915	2	1	192	6	1	28	9422	0	0
1.916	2	1	192	7	1	28	9422	0	0
1.917	1	1	192	8	1	28	9422	0	0
1.917	2	1	192	8	1	28	9422	0	0
1.918	2	1	192	9	1	28	9422	0	0
1.919	2	1	192	10	1	28	9422	0	0
1.92	2	1	193	1	1	28	9422	0	0
1.921	2	1	193	2	1	28	9422	0	0
1.922	2	1	193	3	1	28	9422	0	0
1.923	2	1	193	4	1	28	9422	0	0
1.924	2	1	193	5	1	28	9422	0	0
1.929	2	1	193	10	1	28	9422	0	0
1.93	2	1	194	1	1	28	9422	0	0
1.931	2	1	194	2	1	28	9422	0	0
1.932	2	1	194	3	1	28	9422	0	0
1.933	2	1	194	4	1	28	9422	0	0
1.934	2	1	194	5	1	28	9422	0	0
1.935	2	1	194	6	1	28	9422	0	0
1.936	2	1	194	7	1	28	9422	0	0
1.941	2	1	195	2	1	28	9422	0	0
1.942	2	1	195	3	1	28	9422	0	0
1.943	2	1	195	4	1	28	9422	0	0
1.944	2	1	195	5	1	28	9422	0	0
1.945	2	1	195	6	1	28	9422	0	0
1.946	2	1	195	7	1	28	9422	0	0
1.947	2	1	195	8	1	28	9422	0	0
1.948	2	1	195	9	1	28	9422	0	0
1.949	2	1	195	10	1	28	9422	0	0
1.95	2	1	196	1	1	28	9422	0	0
1.951	1	1	196	2	1	28	9422	0	0
1.951	2	1	196	2	1	28	9422	0	0
1.952	2	1	196	3	1	28	9422	0	0
1.953	2	1	196	4	1	28	9422	0	0
1.954	2	1	196	5	1	28	9422	0	0
1.955	2	1	196	6	1	28	9422	0	0
1.956	2	1	196	7	1	28	9422	0	0
1.957	2	1	196	8	1	28	9422	0	0
1.958	2	1	196	9	1	28	9422	0	0
1.959	2	1	196	10	1	28	9422	0	0
1.96	2	1	197	1	1	28	9422	0	0
1.961	2	1	197	2	1	28	9422	0	0
1.962	1	1	197	3	1	28	9422	0	0
1.962	2	1	197	3	1	28	9422	0	0
1.967	2	1	197	8	1	28	9422	0	0
1.968	2	1	197	9	1	28	9422	0	0
1.969	2	1	197	10	1	28	9422	0	0
1.97	2	1	198	1	1	28	9422	0	0
1.971	2	1	198	2	1	28	9422	0	0
1.972	2	1	198	3	1	28	9422	0	0
1.973	2	1	198	4	1	28	9422	0	0
1.974	2	1	198	5	1	28	9422	0	0
1.979	2	1	198	10	1	28	9422	0	0
1.98	2	1	199	1	1	28	9422	0	0
1.981	2	1	199	2	1	28	9422	0	0
1.982	2	1	199	3	1	28	9422	0	0
1.983	2	1	199	4	1	28	9422	0	0
1.984	2	1	199	5	1	28	9422	0	0
1.985	2	1	199	6	1	28	9422	0	0
1.986	2	1	199	7	1	28	9422	0	0
1.987	2	1	199	8	1	28	9422	0	0
1.988	2	1	199	9	1	28	9422	0	0
1.989	2	1	199	10	1	28	9422	0	0
1.99	2	1	200	1	1	28	9422	0	0
1.991	2	1	200	2	1	28	9422	0	0
1.992	2	1	200	3	1	28	9422	0	0
1.993	2	1	200	4	1	28	9422	0	0
1.994	2	1	200	5	1	28	9422	0	0
1.995	2	1	200	6	1	28	9422	0	0
1.996	2	1	200	7	1	28	9422	0	0
1.997	2	1	200	8	1	28	9422	0	0
1.998	2	1	200	9	1	28	9422	0	0
1.999	1	1	200	10	1	28	9422	0	0
1.999	2	1	200	10	1	28	9422	0	0
2	2	1	201	1	1	28	9422	0	0
2.001	2	1	201	2	1	28	9422	0	0
2.002	2	1	201	3	1	28	9422	0	0
2.003	2	1	201	4	1	28	9422	0	0
2.004	2	1	201	5	1	28	9422	0	0
2.005	2	1	201	6	1	28	9422	0	0
2.006	2	1	201	7	1	28	9422	0	0
2.011	2	1	202	2	1	28	9422	0	0
2.012	2	1	202	3	1	28	9422	0	0
2.013	2	1	202	4	1	28	9422	0	0
2.014	2	1	202	5	1	28	9422	0	0
2.015	2	1	202	6	1	28	9422	0	0
2.016	2	1	202	7	1	28	9422	0	0
2.017	2	1	202	8	1	28	9422	0	0
2.018	2	1	202	9	1	28	9422	0	0
2.023	2	1	203	4	1	28	9422	0	0
2.024	2	1	203	5	1	28	9422	0	0
2.025	2	1	203	6	1	28	9422	0	0
2.026	2	1	203	7	1	28	9422	0	0
2.027	2	1	203	8	1	28	9422	0	0
2.028	2	1	203	9	1	28	9422	0	0
2.029	2	1	203	10	1	28	9422	0	0
2.03	2	1	204	1	1	28	9422	0	0
2.031	2	1	204	2	1	28	9422	0	0
2.032	2	1	204	3	1	28	9422	0	0
2.033	1	1	204	4	1	28	9422	0	0
2.033	2	1	204	4	1	28	9422	0	0
2.034	2	1	204	5	1	28	9422	0	0
2.035	2	1	204	6	1	28	9422	0	0
2.036	2	1	204	7	1	28	9422	0	0
2.037	2	1	204	8	1	28	9422	0	0
2.038	2	1	204	9	1	28	9422	0	0
